Designator,Footprint,Quantity,Value,LCSC Part #
"C2, C3",0603,2,10u,
C4,0603,1,1u,
J1,PinHeader_1x06_P2.54mm_Vertical,1,MicroSD,
J10,TestPoint_Pad_2.0x2.0mm,1,IO34_TP,
J11,TestPoint_Pad_2.0x2.0mm,1,IO35_TP,
J12,TestPoint_Pad_2.0x2.0mm,1,0V_TP,
J16,USB_B_TE_5787834_Vertical,1,USB_B,
J17,TestPoint_Pad_2.0x2.0mm,1,RX_GPS_TP,
J19,TestPoint_Pad_2.0x2.0mm,1,TX_GUI_TP,
J2,TestPoint_Pad_2.0x2.0mm,1,3.3V_TP,
J20,TestPoint_Pad_2.0x2.0mm,1,RX_GUI_TP,
J21,TestPoint_Pad_2.0x2.0mm,1,B_BAT_TP,
J22,TestPoint_Pad_2.0x2.0mm,1,A_BAT_TP,
J23,TestPoint_Pad_2.0x2.0mm,1,RX_BAT_TP,
J24,TestPoint_Pad_2.0x2.0mm,1,TX_BAT_EN_TP,
J25,TestPoint_Pad_2.0x2.0mm,1,TX_BAT_TP,
J3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,GPS,
J4,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,NextionDisplay,
J5,1-1705949-1,1,4P4C,
J8,TestPoint_Pad_2.0x2.0mm,1,IO32_TP,
J9,TestPoint_Pad_2.0x2.0mm,1,IO33_TP,
"R12, R4",0603,2,10K,
R5,0603,1,100,
SW1,PinHeader_1x03_P2.54mm_Horizontal,1,SW_COUNTCTRL,
SW2,PinHeader_1x03_P2.54mm_Horizontal,1,SW_Reserve,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,SOP-8_3.9x4.9mm_P1.27mm,1,MAX3485,
U4,ESP32_mini,1,mini_esp32,
