Designator,Mid X,Mid Y,Rotation,Layer
C1,87.5295,-118.11,180.0,top
C2,139.192,-107.0875,270.0,top
C3,136.398,-107.0875,90.0,top
C4,178.901,-96.647,0.0,top
C5,92.202,-87.63,270.0,top
C6,87.5295,-120.904,180.0,top
J1,111.247,-99.568,90.0,top
J16,184.15,-92.71,90.0,top
J3,152.908,-82.607,90.0,top
J4,117.104,-82.607,90.0,top
J5,168.91,-89.916,0.0,top
J6,99.344,-75.363,180.0,top
J7,135.392,-82.607,90.0,top
Q1,112.268,-107.4,90.0,top
Q2,127.508,-107.4,90.0,top
R1,111.252,-103.568,90.0,top
R12,178.9195,-105.664,180.0,top
R13,91.5435,-120.904,0.0,top
R14,81.788,-82.9545,90.0,top
R2,126.492,-103.568,90.0,top
R3,95.25,-87.63,270.0,top
R4,178.9665,-102.616,0.0,top
R5,178.901,-99.695,0.0,top
R6,98.298,-87.63,270.0,top
R7,101.854,-87.63,270.0,top
R8,105.41,-87.63,270.0,top
RV1,83.606,-80.558,0.0,top
SW1,133.962,-117.602,0.0,top
SW2,195.072,-100.076,270.0,top
SW3,120.65,-64.77,90.0,top
SW4,148.59,-64.77,90.0,top
SW5,172.72,-64.77,90.0,top
U1,94.615,-105.8,90.0,top
U2,138.554,-99.652,90.0,top
U3,171.45,-98.552,0.0,top
